"Genre" "name"
"Maytenus_oblongata" "Maytenus" "Maytenus_oblongata"
"Pouteria_ambelaniifolia" "Pouteria" "Pouteria_ambelaniifolia"
"Pouteria_torta" "Pouteria" "Pouteria_torta"
"Licania_sprucei" "Licania" "Licania_sprucei"
"Posoqueria_latifolia" "Posoqueria" "Posoqueria_latifolia"
"Amanoa_guianensis" "Amanoa" "Amanoa_guianensis"
"Duguetia_calycina" "Duguetia" "Duguetia_calycina"
"Licania_parviflora" "Licania" "Licania_parviflora"
"Maquira_guianensis" "Maquira" "Maquira_guianensis"
"Pouteria_venosa" "Pouteria" "Pouteria_venosa"
"Parkia_ulei" "Parkia" "Parkia_ulei"
"Unonopsis_rufescens" "Unonopsis" "Unonopsis_rufescens"
"Byrsonima_laevigata" "Byrsonima" "Byrsonima_laevigata"
"Leonia_glycycarpa" "Leonia" "Leonia_glycycarpa"
"Albizia_pedicellaris" "Albizia" "Albizia_pedicellaris"
"Cupania_Indet." "Cupania" "Cupania_Indet."
"Chrysophyllum_sanguinolentum" "Chrysophyllum" "Chrysophyllum_sanguinolentum"
"Poraqueiba_guianensis" "Poraqueiba" "Poraqueiba_guianensis"
"Sacoglottis_guianensis" "Sacoglottis" "Sacoglottis_guianensis"
"Vitex_triflora" "Vitex" "Vitex_triflora"
"Pouteria_eugeniifolia" "Pouteria" "Pouteria_eugeniifolia"
"Swartzia_grandifolia" "Swartzia" "Swartzia_grandifolia"
"Eschweilera_simiorum" "Eschweilera" "Eschweilera_simiorum"
"Tapirira_guianensis" "Tapirira" "Tapirira_guianensis"
"Coccoloba_mollis" "Coccoloba" "Coccoloba_mollis"
"Enterolobium_schomburgkii" "Enterolobium" "Enterolobium_schomburgkii"
"Aspidosperma_desmanthum" "Aspidosperma" "Aspidosperma_desmanthum"
"Talisia_hexaphylla" "Talisia" "Talisia_hexaphylla"
"Eriotheca_globosa" "Eriotheca" "Eriotheca_globosa"
"Tapirira_Indet." "Tapirira" "Tapirira_Indet."
"Sloanea_grandiflora" "Sloanea" "Sloanea_grandiflora"
"Tabebuia_insignis" "Tabebuia" "Tabebuia_insignis"
"Pourouma_bicolor" "Pourouma" "Pourouma_bicolor"
"Vouacapoua_americana" "Vouacapoua" "Vouacapoua_americana"
"Amphirrhox_longifolia" "Amphirrhox" "Amphirrhox_longifolia"
"Parkia_pendula" "Parkia" "Parkia_pendula"
"Antonia_ovata" "Antonia" "Antonia_ovata"
"Ocotea_glomerata" "Ocotea" "Ocotea_glomerata"
"Thyrsodium_guianense" "Thyrsodium" "Thyrsodium_guianense"
"Tapura_capitulifera" "Tapura" "Tapura_capitulifera"
"Myrciaria_floribunda" "Myrciaria" "Myrciaria_floribunda"
"Simaba_morettii" "Simaba" "Simaba_morettii"
"Garcinia_madruno" "Garcinia" "Garcinia_madruno"
"Sterculia_speciosa" "Sterculia" "Sterculia_speciosa"
"Coussarea_Indet." "Coussarea" "Coussarea_Indet."
"Xylopia_crinita" "Xylopia" "Xylopia_crinita"
"Lecythis_poiteaui" "Lecythis" "Lecythis_poiteaui"
"Mouriri_crassifolia" "Mouriri" "Mouriri_crassifolia"
"Lecythis_persistens subsp. aurantiaca" "Lecythis" "Lecythis_persistens subsp. aurantiaca"
"Eschweilera_chartaceifolia" "Eschweilera" "Eschweilera_chartaceifolia"
"Ocotea_cernua" "Ocotea" "Ocotea_cernua"
"Mahurea_palustris" "Mahurea" "Mahurea_palustris"
"Parkia_nitida" "Parkia" "Parkia_nitida"
"Protium_Indet." "Protium" "Protium_Indet."
"Sloanea_brevipes" "Sloanea" "Sloanea_brevipes"
"Swartzia_arborescens" "Swartzia" "Swartzia_arborescens"
"Hebepetalum_humiriifolium" "Hebepetalum" "Hebepetalum_humiriifolium"
"Protium_giganteum" "Protium" "Protium_giganteum"
"Eugenia_pseudopsidium" "Eugenia" "Eugenia_pseudopsidium"
"Simarouba_amara" "Simarouba" "Simarouba_amara"
"Couepia_guianensis" "Couepia" "Couepia_guianensis"
"Caraipa_racemosa" "Caraipa" "Caraipa_racemosa"
