idTaxon,Famille,Genre,espece
402,Combretaceae,Buchenavia,guianensis
411,Elaeocarpaceae,Sloanea,meianthera
437,Elaeocarpaceae,Sloanea,latifolia
519,Erythroxylaceae,Erythroxylum,squamatum
524,Euphorbiaceae,Chaetocarpus,sp.1
558,Araliaceae,Schefflera,decaphylla
589,Fabaceae,Copaifera,guianensis
592,Sapotaceae,Chrysophyllum,sp.3CAY-ATDN
594,Fabaceae,Crudia,oblonga
643,Fabaceae,Inga,alata
646,Sapotaceae,Indet.Sapotaceae,sp.3CAY-ATDN
656,Fabaceae,Inga,cordatoalata
662,Fabaceae,Inga,fastuosa
679,Fabaceae,Inga,marginata
683,Fabaceae,Inga,nubium
736,Fabaceae,Ormosia,bolivarensis
750,Fabaceae,Parkia,gigantocarpa
778,Fabaceae,Stryphnodendron,moricolor
792,Fabaceae,Swartzia,longicarpa
809,Fabaceae,Tachigali,richardiana
822,Fabaceae,Zygia,sabatieri
882,Lauraceae,Endlicheria,melinonii
886,Lauraceae,Indet.Lauraceae,Indet.
987,Lauraceae,Ocotea,cernua
995,Lauraceae,Ocotea,leucoxylon
1014,Lauraceae,Ocotea,subterminalis
1033,Lecythidaceae,Eschweilera,collina
1076,Fabaceae,Bauhinia,eilertsii
1078,Malpighiaceae,Byrsonima,altissima
1111,Malvaceae,Catostemma,commune
1154,Annonaceae,Guatteria,punctata
1195,Melastomataceae,Miconia,hypoleuca
1198,Melastomataceae,Miconia,phaeophylla
1241,Moraceae,Ficus,americana
1268,Moraceae,Perebea,guianensis
1269,Moraceae,Perebea,mollis
1272,Moraceae,Pseudolmedia,laevigata
1302,Myrtaceae,Eugenia,exaltata
1304,Myrtaceae,Eugenia,feijoi
1312,Myrtaceae,Eugenia,latifolia
1327,Myrtaceae,Eugenia,sp.FG21
11,Vochysiaceae,Erisma,Indet.
13,Lecythidaceae,Eschweilera,grandiflora_form2
18,Annonaceae,Annona,ambotay
18,Annonaceae,Annona,exsucca
37,Annonaceae,Ephedranthus,guianensis
44,Annonaceae,Guatteria,intermedia
65,Annonaceae,Xylopia,cayennensis
71,Annonaceae,Xylopia,parviflora
76,Apocynaceae,Aspidosperma,desmanthum
79,Apocynaceae,Aspidosperma,schultesii
89,Apocynaceae,Malouetia,guianensis
109,Arecaceae,Euterpe,precatoria
117,Violaceae,Alsodeia,longiflora
125,Anacardiaceae,Anacardium,spruceanum
129,Boraginaceae,Cordia,exaltata
133,Anacardiaceae,Tapirira,obtusa
134,Anacardiaceae,Tapirira,obtusa
135,Burseraceae,Protium,opacum
136,Burseraceae,Protium,opacum
137,Burseraceae,Protium,opacum
138,Boraginaceae,Cordia,goeldiana
139,Annonaceae,Anaxagorea,acuminata
149,Boraginaceae,Cordia,toqueve
152,Annonaceae,Annona,ambotay
153,Annonaceae,Annona,ambotay
154,Annonaceae,Annona,ambotay
169,Burseraceae,Protium,altsonii
182,Annonaceae,Duguetia,pycnastera
184,Burseraceae,Protium,plagiocarpium
207,Calophyllaceae,Caraipa,punctulata
208,Celastraceae,Hippocratea,volubilis
211,Calophyllaceae,Mahurea,palustris
215,Capparaceae,Capparis,baducca
225,Celastraceae,Maytenus,guyanensis
228,Celastraceae,Maytenus,myrsinoides
231,Celastraceae,Maytenus,sp.P1
249,Indet.,Indet.Indet.,Indet.
269,Chrysobalanaceae,Couepia,joaquinae
272,Apocynaceae,Aspidosperma,Indet.
280,Apocynaceae,Aspidosperma,carapanauba
